,State_0,State_1,State_2,State_3,State_4,State_5,State_6,State_7,State_8,State_9
State_0,0.7454545454545455,0.012121212121212121,0.07272727272727272,0.012121212121212121,0.030303030303030304,0.0,0.012121212121212121,0.006060606060606061,0.0,0.10909090909090909
State_1,0.002936857562408223,0.7459618208516887,0.007342143906020558,0.03671071953010279,0.0,0.024963289280469897,0.12334801762114538,0.0,0.033773861967694566,0.024963289280469897
State_2,0.032418952618453865,0.0199501246882793,0.8503740648379052,0.004987531172069825,0.014962593516209476,0.007481296758104738,0.00997506234413965,0.0,0.004987531172069825,0.05486284289276808
State_3,0.008385744234800839,0.06289308176100629,0.0020964360587002098,0.689727463312369,0.0,0.0020964360587002098,0.14465408805031446,0.033542976939203356,0.03563941299790356,0.020964360587002098
State_4,0.02027027027027027,0.0,0.04054054054054054,0.0,0.8986486486486487,0.0,0.0,0.0,0.0,0.04054054054054054
State_5,0.000975609756097561,0.006829268292682927,0.002926829268292683,0.000975609756097561,0.0,0.937560975609756,0.04,0.001951219512195122,0.004878048780487805,0.003902439024390244
State_6,0.0019455252918287938,0.15369649805447472,0.011673151750972763,0.14396887159533073,0.0,0.06031128404669261,0.5252918287937743,0.0019455252918287938,0.09727626459143969,0.0038910505836575876
State_7,0.0,0.0,0.0025575447570332483,0.010230179028132993,0.0,0.0008525149190110827,0.0025575447570332483,0.9718670076726342,0.005115089514066497,0.0068201193520886615
State_8,0.005235602094240838,0.1518324607329843,0.010471204188481676,0.1099476439790576,0.0,0.02617801047120419,0.20418848167539266,0.031413612565445025,0.45549738219895286,0.005235602094240838
State_9,0.0272,0.0288,0.0352,0.0176,0.0048,0.0096,0.0032,0.0128,0.0016,0.8592
