,State_0,State_1,State_2,State_3,State_4,State_5,State_6,State_7,State_8,State_9,State_10,State_11
State_0,0.7894736842105263,0.0,0.03827751196172249,0.009569377990430622,0.004784688995215311,0.0,0.06698564593301436,0.009569377990430622,0.004784688995215311,0.07177033492822966,0.004784688995215311,0.0
State_1,0.0,0.9671977507029054,0.0009372071227741331,0.007497656982193065,0.0,0.00937207122774133,0.0028116213683223993,0.00937207122774133,0.0028116213683223993,0.0,0.0,0.0
State_2,0.006476683937823834,0.0012953367875647669,0.8121761658031088,0.0,0.0,0.006476683937823834,0.1489637305699482,0.0,0.011658031088082901,0.010362694300518135,0.0025906735751295338,0.0
State_3,0.0045045045045045045,0.02252252252252252,0.0,0.7792792792792793,0.0,0.15315315315315314,0.006756756756756757,0.0022522522522522522,0.009009009009009009,0.0,0.02252252252252252,0.0
State_4,0.0,0.0,0.007575757575757576,0.007575757575757576,0.9090909090909091,0.0,0.007575757575757576,0.015151515151515152,0.0,0.0,0.015151515151515152,0.03787878787878788
State_5,0.0,0.013975155279503106,0.004658385093167702,0.10714285714285714,0.0,0.827639751552795,0.03571428571428571,0.010869565217391304,0.0,0.0,0.0,0.0
State_6,0.03680981595092025,0.012269938650306749,0.36809815950920244,0.012269938650306749,0.0,0.06134969325153374,0.401840490797546,0.024539877300613498,0.0,0.08282208588957055,0.0,0.0
State_7,0.012345679012345678,0.024691358024691357,0.0030864197530864196,0.0030864197530864196,0.006172839506172839,0.024691358024691357,0.018518518518518517,0.8919753086419753,0.0,0.006172839506172839,0.009259259259259259,0.0
State_8,0.0015625,0.0046875,0.0078125,0.00625,0.0,0.0,0.00625,0.0015625,0.9625,0.0015625,0.0078125,0.0
State_9,0.051771117166212535,0.0,0.010899182561307902,0.0,0.0027247956403269754,0.0,0.07084468664850137,0.0027247956403269754,0.0027247956403269754,0.8474114441416893,0.010899182561307902,0.0
State_10,0.00267379679144385,0.0,0.0053475935828877,0.02406417112299465,0.0106951871657754,0.0,0.0,0.0053475935828877,0.01871657754010695,0.008021390374331552,0.9224598930481284,0.00267379679144385
State_11,0.0,0.0,0.0,0.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.021739130434782608,0.9347826086956522
